Title Topic: Sonata form,
"
At the top of the page is a topic title. In the left column below, there are several topics that are related to the title topic in some way. 

What I need from you is to choose around 20 of the topics in the list below and indicate if it would be better to learn about that topic before or after you learn about the title topic.
indicate your answer in the column to the right (Before/After). It would also be helpful if your labels were relatively balanced, but not totally a requirement. 
(you are also welcome to do more than 20 if you like)
 
You will likely run into topics where it will be hard to decide. Choose just those topics you are most sure should come before or after.

Please don't spend more than 5 minutes on this! I don't want to take too much of anyone's time.

Thank you!",
Topic,Before/After
Slow movement (music),after
Sonata cycle,after
Sonata rondo form,
Musical development,before
Tonality,before
Introduction (music),
Arch form,
Period (music),before
Progressive tonality,
Musical form,before
Developing variation,before
Exposition (music),
Symphony No. 9 (Schubert),after
Binary form,before
Cycle (music),
Recapitulation (music),before
Bar form,before
Through-composed,
Parallel key,before
Schenkerian analysis,after
Cyclic form,after
Neotonality,
Trio sonata,
Schubert's compositions for violin and piano,
Ternary form,
Circle of fifths,before
Viola sonata,
Double-Function Form,
Secondary development,
Organ Sonatas (Bach),
Closely related key,before
Rondo,
Modulation (music),
"Six Sonatas for Violin and Harpsichord, BWV 10...",
Sketch (music),
Chamber Symphony No. 1 (Schoenberg),after
Clarinet Quintet (Mozart),after
Violin Concerto No. 3 (Mozart),after
"Harpsichord Concerto in A major, BWV 1055",
Musical analysis,before
Program music,
Symphony No. 6 (Mahler),after
Symphony No. 6 (Tchaikovsky),after
Ritornello,
Ein Heldenleben,
Coda (music),before
Symphony No. 9 (Bruckner),after
Cello Concerto (Waterhouse),after
Figured bass,before
Piccolo Quintet,
Sonata,after
Phantasy Quartet,
Der 100. Psalm,
Ostinato,
Dramatic structure,
Requiem (Mozart),after
Carl Maria von Weber,
The Marriage of Figaro,
Movement (music),before
Key (music),before
Daniel Barenboim,
Concerto,after
String quartet,after
Antonín Dvořák,
Symphony,after
Gioachino Rossini,
Arnold Schoenberg,
Felix Mendelssohn,
Richard Strauss,
International Standard Book Number,
International Music Score Library Project,
Franz Schubert,
Ludwig van Beethoven,
Johann Sebastian Bach,
History of sonata form,before
Subject (music),before
List of sonatas,
Clarinet Sonatas (Brahms),
Piano sonata,after
Carl Czerny,
Oboe,
Bassoon,
Piano sonatas (Beethoven),
Opus number,
Charles-Valentin Alkan,
List of solo piano compositions by Joseph Haydn,
Timpani,
Sonata theory,after
Piano Sonata in B minor (Liszt),
Sonatina,
"Organ Sonatas, Op. 65 (Mendelssohn)",
"Sonatas, duos and fantasies by Franz Schubert",
Piano,
Clarinet,
Gustav Mahler,
Violin Sonata (Shostakovich),
Anton Reicha,
Viola Sonata (Shostakovich),
Cello Sonata (Shostakovich),
Trumpet,
Cadence,before
