Title Topic: Exercise physiology,
"
At the top of the page is a topic title. In the left column below, there are several topics that are related to the title topic in some way. 

What I need from you is to choose around 20 of the topics in the list below and indicate if it would be better to learn about that topic before or after you learn about the title topic.
indicate your answer in the column to the right (Before/After). It would also be helpful if your labels were relatively balanced, but not totally a requirement. 
(you are also welcome to do more than 20 if you like)
 
You will likely run into topics where it will be hard to decide. Choose just those topics you are most sure should come before or after.

Please don't spend more than 5 minutes on this! I don't want to take too much of anyone's time.

Thank you!",
Topic,Before/After
Exercise physiology,After
Central governor,
Physical strength,Before
Evolutionary physiology,After
Endurance training,Before
Anaerobic exercise,Before
Cross-training,Before
Excess post-exercise oxygen consumption,
VO2 max,After
Aerobic exercise,After
Basal metabolic rate,Before
Strength training,Before
Muscle contraction,After
Neurobiological effects of physical exercise,After
Weight training,Before
Kinesiology,After
Outline of physiology,
Comparative physiology,
Exertion,
Persistence hunting,
Delayed onset muscle soreness,After
Cell physiology,After
Experimental evolution,
Gluconeogenesis,After
Allied health professions,
Glycogen,Before
Autoregulation,After
Physiology,Before
Lactic acid,Before
Human skeletal changes due to bipedalism,
Biological system,After
Homeostasis,Before
Muscle,Before
Adenosine triphosphate,Before
Circulatory system,Before
Human evolution,Before
Metabolism,Before
Neurology,After
Pathology,After
Digital object identifier,
PubMed Central,
International Standard Book Number,
Circuit training,Before
Interval training,Before
Outdoor fitness,Before
Swimming,Before
Stretching,Before
Bodyweight exercise,Before
Exercise equipment,
Fitness culture,Before
Exercise,Before
Protein,Before
Yoga as exercise,Before
International Standard Serial Number,
Oxygen,Before
Glycolysis,After
Outline of exercise,
Exercise trends,
Serotonin,
Enzyme,
Creatine,
Biochemistry,
Brain,
Jogging,
Bioenergetics,
Hormone,
Aerobics,
Nutrition,
Glycogenolysis,
Cellular respiration,
Cell signaling,
Oxidative phosphorylation,
Heart,
John Cena,
Glucose,
Insulin,
Integrated Authority File,
Human brain,
Modern yoga,
Fitness boot camp,
Cell (biology),
Bibcode,
Medical Subject Headings,
Calisthenics,
Liver,
Mitochondrion,
Catabolism,
AMP-activated protein kinase,
Carbohydrate,
Myocyte,
Ryanodine receptor,
Archibald Hill,
Calcium,
Neuron,
Sodium channel,
Index of biochemistry articles,
Dopamine,
Adenosine diphosphate,
Adipose tissue,
Troponin,
Physical fitness,
