Title Topic: Atmospheric science,
"
At the top of the page is a topic title. In the left column below, there are several topics that are related to the title topic in some way. 

What I need from you is to choose around 20 of the topics in the list below and indicate if it would be better to learn about that topic before or after you learn about the title topic.
indicate your answer in the column to the right (Before/After). It would also be helpful if your labels were relatively balanced, but not totally a requirement. 
(you are also welcome to do more than 20 if you like)
 
You will likely run into topics where it will be hard to decide. Choose just those topics you are most sure should come before or after.

Please don't spend more than 5 minutes on this! I don't want to take too much of anyone's time.

Thank you!",
Topic,Before/After
Atmospheric science,
Atmospheric physics,after
Aeronomy,
Richard Assmann,
Léon Teisserenc de Bort,
Planetary boundary layer,
Atmospheric chemistry,after
Teleconnection,
Weather balloon,
Radiosonde,
Atmosphere of Earth,
Gravity wave,
Ionization,before
Climatology,after
Planetary science,
-logy,
Fluid mechanics,before
Dissociation (chemistry),before
Weather forecasting,after
Climate,
Natural satellite,
Meteorology,after
Planet,before
Laser,before
Equivalent latitude,
Precipitation,before
Satellite,before
Air-mass thunderstorm,
Thundersnow,
Megacryometeor,
International Standard Book Number,
Quaternary science,
Bibcode,
List of severe weather phenomena,
Cloud physics,after
Freezing drizzle,
Heat burst,
Cloudburst,
Snow grains,
Ground blizzard,
Downburst,
Arcus cloud,
Diamond dust,
Haboob,
Digital object identifier,
Microburst,
Glossary of tropical cyclone terms,
Snow roller,
Geo-literacy,
Extreme weather,
Geobiology,
Fog season,
Graupel,
List of geographical societies,
Slush,
Climate change,
Rain and snow mixed,
Spatial citizenship,
Geostatistics,
Ice pellets,
Regional geography,
Wayback Machine,
Fire whirl,
Phytogeography,
Drizzle,before
Population geography,
Atmospheric river,before
Dust devil,before
Simoom,
Health geography,
Freezing rain,before
Development geography,
Polar low,
Settlement geography,
Remote sensing,
Landspout,
European windstorm,
Index of geography articles,
Landscape architecture,
Mesocyclone,after
Cumulonimbus cloud,
Palaeogeography,
Anticyclonic tornado,
Outline of geography,
Environmental social science,
Limnology,
Harmattan,
Earth system science,
Dust storm,before
Waterspout,before
Edaphology,
Behavioral geography,
Integrated geography,
Severe weather,
Geologic modelling,after
Pedology,
Urban geography,
Glossary of climate change,
Supercell,
Geochronology,
Snowsquall,
